Country,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,COV,SUM
Israel,2.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,6.0,5.0,3.0,4.0,23.0,11.0,7.0,1.0,5.0,54.0,4.0,,1.8663217643624597,133.86632176436245
Mauritania,1.0,,0.0,5.0,49.0,61.0,,,,,10.0,0.0,0.0,,,,,,,,,1.5669442877437068,127.56694428774371
Belgium,1.0,1.0,1.0,,,,0.0,,,,,,,,38.0,58.0,8.0,3.0,,,,1.5960991408845715,111.59609914088458
Suriname,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,90.0,4.16165538865498,103.16165538865498
Equatorial Guinea,5.0,0.0,79.0,14.0,0.0,0.0,,,,,2.0,0.0,0.0,,,,,,,,,2.32848126468735,102.32848126468735
Maldives,0.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,4.0,0.0,,,0.0,3.0,,81.0,,,,,,3.1078431211637474,96.10784312116375
Slovakia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,3.0,1.0,7.0,2.0,11.0,61.0,,3.0199681997043397,93.01996819970434
Morocco,8.0,,,6.0,0.0,59.0,3.0,8.0,5.0,,,,,,,,,,,,,1.6206282905260936,90.6206282905261
Croatia,0.0,0.0,2.0,1.0,,1.0,1.0,0.0,1.0,0.0,1.0,33.0,2.0,3.0,2.0,2.0,10.0,3.0,8.0,16.0,,1.7726022856380093,87.77260228563802
Sweden,0.0,0.0,0.0,0.0,0.0,0.0,50.0,4.0,3.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,3.0,1.0,,,3.2116614759965105,70.21166147599651
San Marino,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,48.0,5.0,0.0,1.0,1.0,0.0,,,11.0,,,2.722113742679583,68.72211374267958
Bahrain,0.0,0.0,0.0,1.0,8.0,2.0,4.0,3.0,6.0,9.0,2.0,5.0,3.0,7.0,2.0,7.0,0.0,1.0,2.0,4.0,,0.863279536794825,66.86327953679482
Mauritius,,0.0,0.0,5.0,6.0,10.0,9.0,4.0,2.0,2.0,3.0,6.0,3.0,3.0,,,,,0.0,,,0.8300237334489668,53.83002373344897
Niue,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,40.0,0.0,0.0,0.0,0.0,,3.7416573867739413,43.741657386773944
Comoros (the),0.0,2.0,0.0,0.0,35.0,0.0,0.0,,0.0,1.0,,0.0,0.0,,,,,,,0.0,,3.1717399838745437,41.171739983874545
Timor-Leste,8.0,3.0,8.0,5.0,1.0,0.0,8.0,0.0,,2.0,0.0,0.0,,0.0,,,,,,,,1.1737386155623994,36.1737386155624
Malta,0.0,0.0,0.0,0.0,0.0,,,1.0,0.0,0.0,3.0,2.0,1.0,6.0,0.0,4.0,2.0,0.0,6.0,8.0,,1.390641685525305,34.3906416855253
Guinea-Bissau,,0.0,0.0,,3.0,0.0,23.0,3.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,2.6019292211394345,31.601929221139436
Belize,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,8.0,11.0,4.0,2.2724111768076614,31.272411176807662
Andorra,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,,0.0,,,,3.8729833462074175,25.872983346207416
Slovenia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,8.0,3.0,8.0,,,,2.1104642403211393,24.11046424032114
Cuba,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4721359549995805,22.47213595499958
Norway,0.0,0.0,0.0,0.0,3.0,3.0,1.0,2.0,0.0,0.0,1.0,,2.0,1.0,2.0,1.0,1.0,0.0,4.0,,,1.0701673248802246,22.070167324880224
Haiti,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,3.0,2.0,1.0,,,,,2.6278606645774962,19.627860664577497
Finland,0.0,0.0,0.0,5.0,,0.0,,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,,,,2.0940833758915107,14.094083375891511
Brunei Darussalam,0.0,1.0,0.0,0.0,0.0,,1.0,2.0,1.0,1.0,0.0,,,0.0,0.0,1.0,,1.0,1.0,3.0,,1.1417984514369002,13.1417984514369
Uruguay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,3.0,2.282785822435191,11.28278582243519
Cyprus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,,0.0,,,4.2426406871192865,10.242640687119287
Jamaica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,4.582575694955841,7.582575694955841
Sao Tome and Principe,0.0,0.0,0.0,3.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,3.7416573867739418,6.741657386773942
Guyana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,4.472135954999579,6.472135954999579
Montenegro,0.0,0.0,0.0,,,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,,,,,,3.3166247903554003,6.3166247903554
Bahamas (the),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,2.0,4.242640687119286,6.242640687119286
Iceland,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,3.0869745325651587,6.086974532565159
Denmark,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,2.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,2.8030595529069404,5.803059552906941
Barbados,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,,,4.242640687119286,5.242640687119286
Monaco,,,,,,,,,,,,,,,,5.0,,,,,,,5.0
Luxembourg,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,,,3.741657386773941,4.741657386773941
Somalia,,,,,1.0,,,,,,,,,,,,,,,,,,1.0
Vanuatu,0.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0
Antigua and Barbuda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0
Tuvalu,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
Kiribati,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0
Trinidad and Tobago,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0
Tonga,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0
France,,,,,,,,,,,,,,,,,,,,,,,0.0
Solomon Islands,0.0,0.0,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,,,0.0
Seychelles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0
Saint Vincent and the Grenadines,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,0.0
Saint Lucia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0
Saint Kitts and Nevis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
Marshall Islands (the),,,,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0
Cook Islands,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
Dominica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0
Grenada,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Micronesia (Federated States of),0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,,0.0
Nauru,,,,,,,,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,,,0.0
Palau,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,,0.0
