Country,COV
Netherlands,1.4499670931901887
Korea,1.4409814643515995
Mexico,1.3619064473149554
Turkey,1.3392386702540926
Japan,1.2357370557021319
Italy,1.230184229776528
United States,1.2220811109412548
Germany,1.2204961042658438
Spain,1.2067306974380032
France,1.2066252324735296
Canada,1.204157669666589
Australia,1.1952253452477877
Greece,1.1548306124845478
Iceland,1.1525899087085096
Poland,1.1429060836553249
United Kingdom,1.1288104836012454
Czech Republic,1.1189537765931707
Austria,1.0949262434603153
Portugal,1.0922980311595638
Lithuania,1.024580348004068
Hungary,1.0221275365767515
Israel,1.0093687064772616
Ireland,1.003076307702114
Belgium,0.98992877172361
Chile,0.9860490499978587
New Zealand,0.965216987952734
Finland,0.9647244631339753
Switzerland,0.9100132861354726
Norway,0.8991128755327311
Latvia,0.8559406899841006
Slovenia,0.8402925010188895
Sweden,0.8268851991854882
Luxembourg,0.8222043473178063
Slovak Republic,0.7666164989974168
Estonia,0.7256191840935036
